Gene,logFC,NegativeLogPValue
Sema4g,0.6191503,0.00011546945
Pglyrp1,-1.4146402,0.000118817894
Grik1,-1.3140227,0.00011912847
Ebp,0.6023099,0.00011987278
Asb2,2.3547971,0.00012281102
Myh4,9.128461,0.00012647432
Stbd1,-0.6393128,0.00012716244
Pvalb,4.872264,0.00012823797
Rnf207,0.9378827,0.0001307369
Adam17,0.55253357,0.00013312411
Lemd1,-1.8202112,0.00013346727
Lrrc17,1.2704809,0.00013374913
Paqr7,0.6146702,0.0001366721
Itgb3,0.71259034,0.00013819698
Matn4,0.8556133,0.000142921
Ypel2,0.5972062,0.00014341268
Pde1a,-0.8268196,0.00014370386
C1qtnf2,1.1115266,0.00014652258
Itm2a,0.65709007,0.00014755003
D430019H16Rik,0.56971544,0.00014790204
Rdh11,0.6608558,0.0001480806
Nit1,0.5813191,0.00015041548
Arid5b,-1.0283401,0.00015153101
Prcp,0.58050185,0.00015460145
Elavl3,-1.3918177,0.00015493114
Nkain1,1.5254087,0.00015536277
Fgfr3,-0.91005963,0.00015851151
Ednrb,0.8134716,0.00015978869
Slc16a1,0.7650995,0.00016052059
Etfbkmt,-1.1350771,0.0001607743
Tmem50b,0.54298985,0.00016204169
Obscn,4.1896896,0.00016252096
Gch1,-1.1322347,0.0001627108
Car14,0.82504064,0.0001631491
Lpin1,-0.6789939,0.00016338022
Dab2,0.62167746,0.00016362757
Pak1,-0.949885,0.00016386675
Crlf2,-0.7532409,0.00016595458
Frmpd1,1.0948362,0.0001727255
Flrt1,-0.97882384,0.00017274
Ckm,7.084449,0.00017523111
Gm6166,1.6238544,0.00017659388
Gm13502,1.1452484,0.00017733804
Gdf10,1.5431546,0.0001974396
Pard6b,0.7646647,0.0001977646
Crlf1,-0.69783986,0.00020935724
Cdr2,0.67077273,0.00020958138
Pou2f2,0.8564691,0.00021298593
Myrfl,1.0368568,0.00021580776
Myom2,4.055221,0.0002168106
Rgsl1,-1.0088146,0.00021725021
Plin4,-2.0218918,0.00022159822
Gadd45b,-0.70345014,0.00022346633
Sema3d,0.6789322,0.0002263181
Zbtb16,-1.8565625,0.00022936887
Dll4,-0.67935574,0.00023112421
Ckap4,0.51930314,0.00023265439
Tmem35a,1.6626825,0.00023516528
Tusc3,0.5448057,0.00023689438
Nxph3,-1.0703048,0.00023821967
Ldb3,3.2321782,0.0002401276
Gpt2,-0.80322254,0.00024513408
Gm24514,-0.65060085,0.0002483647
Mcf2l,-0.5174606,0.0002521119
Hba-a2,-1.3251884,0.0002535297
Chd5,-0.8131898,0.0002542111
Oxct1,0.50627565,0.00025788796
Ccnd3,-1.0205668,0.00026123633
Elovl7,0.575942,0.00026642732
Srl,2.744629,0.00026753146
Gcnt4,-1.4457234,0.00027090055
Nos3,-0.7612886,0.00027292082
Tmem74,1.302566,0.00027708805
Cxadr,0.79894847,0.0002788616
Mdga1,1.2862622,0.0002948214
Kcnj2,0.83752084,0.0002975663
C7,2.4993646,0.0003035374
Usp54,-0.62552506,0.00030376515
Tuba8,1.0623575,0.00030379352
Il6ra,-0.904185,0.00030806244
Itga6,0.5849635,0.00031688146
Mgarp,-1.7156141,0.00032066298
Dennd5b,-0.84676147,0.00032200338
Rhbdf2,-0.6206383,0.00032413652
Lrp11,0.53579885,0.00032702938
Layn,-0.95627004,0.0003278787
Serpine1,-2.2254965,0.0003322134
Syne3,-0.57471025,0.00033243038
Arap2,-0.60950303,0.00033343368
Hpgd,0.8431137,0.00033893163
Gm21451,1.1229212,0.00034768684
Sytl1,-1.4552777,0.00034996853
Npc2,0.5823027,0.00035135186
Apold1,-1.7156949,0.0003534675
Jag2,-0.6968916,0.0003558578
Hdc,-1.8005276,0.00035711855
Olfml1,0.563629,0.0003596324
Klf4,-0.9695996,0.0003603098
Rps6ka2,0.59133095,0.0003635017
Sfrp4,1.1934326,0.00036367596
Tubb3,-0.8336737,0.00037071662
Slc25a35,0.6785,0.00037231977
Ccn2,-0.9779878,0.00037924436
Thbs2,0.6793029,0.00038200288
Uchl1,-0.5155956,0.0003874117
Frem2,0.5822575,0.0003939631
Igdcc4,0.69700766,0.00039441348
Rapgef4,-0.69359785,0.00039774925
Acta1,8.107438,0.00040495873
Piwil1,1.5042588,0.00040541755
Asphd2,-0.5810394,0.00040566237
Gpx7,0.76129806,0.00041110683
Trip10,-0.77599245,0.00041326688
Rab40b,0.58775973,0.00041963696
Col4a2,0.5776457,0.0004229808
Sycp3,-1.1477162,0.00042380724
Fam205c,-1.5735708,0.0004241874
Hba-a1,-1.5047736,0.00043299512
Pla2g5,-0.53207886,0.000435547
Osr1,1.0784982,0.00043970597
Tmco4,-0.5861933,0.00044991274
Cry2,-1.0160652,0.00045097523
Zc3h12c,-0.65446174,0.0004518888
Ppfibp2,-0.5043314,0.00045569168
Lox,0.6131906,0.0004593757
Gm26846,-0.9984197,0.00046083154
Higd2a,0.5285464,0.0004626114
Camk2n2,-0.8530802,0.000465111
Gm13844,-1.5450386,0.0004866096
Fscn1,0.6322648,0.0004870939
