Gene,logFC,NegativeLogPValue
Rpp30,0.20358454,0.4325853
Micall1,0.119187415,0.43284702
Armcx6,0.22203867,0.43285063
Fut10,-0.12263386,0.43298483
Cox18,0.18161736,0.4330124
Irf9,-0.120974004,0.43302208
Gm19353,-0.24938448,0.43304184
Armc7,0.19628832,0.4330935
Htra2,0.11278475,0.43313715
Wdr91,-0.12471292,0.4332406
Anapc10,-0.17206328,0.43326607
Cln3,-0.114283524,0.43337044
Hirip3,-0.15557358,0.43341213
Scaf8,-0.12038281,0.43379632
Gm13038,-0.25440598,0.43382707
Atxn10,0.121269755,0.4338317
Atp6v1f,0.11299914,0.4338397
Ptges,0.1223645,0.43386775
Timeless,-0.16295108,0.43409264
Tsku,0.18427847,0.43415308
Hus1,-0.13412964,0.43420875
Ovol1,-0.22622302,0.43423972
Rnf152,0.17083962,0.4342443
Lipt1,0.25468668,0.43426362
Gapdhs,-0.17172328,0.43429342
Mterf1a,-0.2510579,0.43451005
Pkia,0.13489002,0.43460032
Prrc2b,-0.13050467,0.43465814
Nsmce2,-0.12039479,0.4346678
Ndufb10,-0.11558288,0.43474877
Ccdc50,-0.118478134,0.43479142
Piga,-0.17314553,0.4348231
Bod1,0.12263392,0.43485096
Il17ra,-0.18398178,0.43492645
Wdr86,0.18016072,0.4349511
Fgd4,0.1094897,0.43511143
Sel1l,0.11949133,0.43520156
Gm12990,0.3303205,0.43552473
Il18bp,-0.14910357,0.43565
Zfp963,-0.19212042,0.4357463
Snap23,0.11531218,0.43584505
Stx12,0.11863774,0.43586347
Gm13339,-0.24275571,0.4358713
Dhx32,0.11629356,0.43587872
Eef2kmt,0.13644634,0.435913
Lrrc40,0.15598272,0.43597576
Mga,-0.11757325,0.4361945
Slc35d1,-0.12694672,0.43619686
Gm26890,0.15582405,0.436202
Hsp90b1,0.120506085,0.4362253
Mink1,-0.12508176,0.43646646
Tdrp,-0.16211563,0.43656307
Mcu,0.12573025,0.43660083
Fam149b,0.11164977,0.4366593
Serpinb6a,0.114421226,0.43670958
Togaram1,-0.113033585,0.43675476
Ddi2,-0.11838284,0.4368453
Stat1,0.14762813,0.43684667
Cfap69,-0.37239143,0.43713087
Eef2,-0.123739146,0.43723267
Prr3,-0.1182474,0.43727472
B630019K06Rik,0.15626512,0.43729553
Zfp825,-0.24850784,0.43731758
Hoxb5,-0.189719,0.43735158
Cisd2,0.119688705,0.43736392
Dtx3,-0.12072084,0.43766826
D030056L22Rik,-0.1529027,0.43769106
5430402O13Rik,-0.26379648,0.43777153
Gm17669,-0.31786948,0.43801138
Sipa1l3,0.1507414,0.43803477
Neurl3,0.24884616,0.4381571
Gm17828,-0.22463726,0.43817192
Gpatch11,-0.13201764,0.43828508
Lemd3,-0.10960744,0.43833902
Gnpda1,0.12722681,0.43835732
Tgif1,-0.1296199,0.4385399
Rpf2,0.20957287,0.43860367
Polr2l,-0.15164858,0.43864945
Pnpla6,-0.107149415,0.4387302
Rsl1,0.20161402,0.43879238
Fam171b,0.19037369,0.43906856
Dmd,0.12699977,0.43906897
Cad,-0.10708468,0.43914127
Pam,0.12124299,0.4392799
Gm11447,-0.39877096,0.4393128
Gm12096,0.33693367,0.43946835
Itgb1bp2,0.26674113,0.4395023
Actn4,-0.12156771,0.43951383
Gm20535,0.24325885,0.43985242
Zadh2,-0.10504653,0.43988973
5830454E08Rik,0.2991023,0.4399403
Prmt2,0.12545799,0.43999502
Ercc1,-0.12188405,0.4400506
Lias,0.13304915,0.44008172
Dnaaf5,0.12482752,0.44011095
n-R5s98,0.3175632,0.44028878
Agrn,0.12927882,0.44048023
Tnfrsf11a,0.15352494,0.44052833
Gm3200,-0.26206842,0.4407187
BC067074,0.13169742,0.44075748
Chst3,-0.118921705,0.44110942
Flnb,0.12463253,0.44114515
Gm12227,0.2584135,0.4412636
Rps27,-0.106439404,0.44129366
Ildr2,0.12612595,0.4413184
Fam161b,-0.18433861,0.44133565
Tank,-0.13329232,0.44146648
Gm6142,-0.29736292,0.4416474
Gm11611,0.21835011,0.44186422
Robo4,-0.11300424,0.44193667
1810024B03Rik,0.24553633,0.442006
Bnip3l-ps,-0.17803101,0.4421719
Klhl20,-0.11521326,0.44217905
Ceacam1,-0.16598472,0.4423026
Rab8b,0.12030246,0.44232303
Sf3b4,-0.109411426,0.4426362
44261,-0.118541926,0.44263697
Gm2895,-0.17938456,0.44279507
Plxnd1,-0.1262243,0.44296545
Rps2-ps9,-0.20368713,0.4431242
Epop,0.3006142,0.44313356
Ruvbl1,0.14458388,0.44333175
Gm15764,-0.16695641,0.4433457
Mief2,0.14584894,0.44344282
Col13a1,-0.41690564,0.44349992
Phf23,-0.12826571,0.44377157
Lbhd2,0.53672135,0.4438335
Frs2,-0.118802115,0.44391957
Gtf2a2,-0.11778062,0.44395882
Mindy2,0.11763356,0.44396463
1810014B01Rik,0.20215201,0.44407046
Atp6v1a,0.11064133,0.44415826
Slc12a4,0.1184812,0.44436046
Atp8b2,-0.13401483,0.4443826
Ttf2,0.16402912,0.44454154
Rora,-0.103865266,0.44479412
Gm16172,-0.32401186,0.4448393
Chn1,0.11641871,0.44498354
Slc12a5,-0.21121639,0.44506434
Brca1,0.29676297,0.44528148
Gli1,-0.13587762,0.44544145
Tubb4b,0.11868874,0.44561994
2810410L24Rik,0.1384678,0.44566303
Ttpal,-0.120208435,0.44567475
Rabif,0.12290499,0.44579166
Timm10,0.2023145,0.4459361
Aagab,-0.110526346,0.4459494
Perp,0.16841802,0.4460168
Ormdl3,-0.11910356,0.44603556
Mmrn1,-0.39766216,0.44614145
Gm5963,-0.21597907,0.44629714
Mau2,-0.12037564,0.44635537
Bnip2,0.10505188,0.4463622
Mdga2,-0.14984599,0.44643673
Snu13,-0.11407712,0.44654056
Snu13,-0.114077106,0.4465513
Uevld,0.1186881,0.44658387
Dimt1,0.18250367,0.44658765
Gm15530,-0.17472515,0.4466169
Ddx28,0.17050931,0.44673195
AI115009,-0.14260459,0.44694155
Lrrc39,0.32002518,0.44695792
Dtd2,-0.1584549,0.44702813
Cyp4b1,-0.15930924,0.44710007
Usp16,-0.10918436,0.44718015
mt-Nd3,-0.22937763,0.44731316
Ppie,-0.1605018,0.44740224
Vbp1,0.13999656,0.44750223
Pou6f1,-0.126396,0.44754416
Rslcan18,-0.32701984,0.44755527
Ldb1,-0.12533028,0.4476423
Lrig3,-0.10817042,0.44780016
Mettl25,-0.15867215,0.44790038
Cd59b,0.18853655,0.44794643
Mrpl11,0.14797468,0.4479523
Sned1,-0.13264476,0.44795498
Ildr1,0.20903145,0.44803482
Castor1,-0.13015163,0.44808048
Dkk3,-0.1353284,0.44812515
Usp35,0.10719394,0.44819862
Dop1a,-0.106259786,0.44831797
Skil,0.15211773,0.44836804
Wdr72,-0.20228726,0.44840395
Iglon5,-0.14523415,0.4485433
Polr3c,-0.13621636,0.44855297
Gm13340,-0.1233945,0.44863763
Lsm14a,-0.114627734,0.44866395
Zmym3,0.11811733,0.44875842
Gm12829,-0.24161772,0.4487762
Gm28085,0.17801051,0.44894585
Prr12,-0.13188477,0.44903204
Ddx42,-0.106943764,0.4490386
Dcaf6,0.11148196,0.44904283
Cdr2l,0.11159099,0.44907466
Fzd6,0.1435153,0.44915026
4921514A10Rik,0.22837004,0.44922552
Lipe,-0.16109912,0.44933057
Homer1,-0.11629641,0.4493871
Noct,0.1674762,0.4493983
Wasf1,0.1280318,0.44949725
Atp6v1g1,0.10909849,0.44957003
Gm24389,0.27319047,0.44962743
Tbx18,0.14140826,0.4496338
Sri,-0.1063668,0.44970936
Phldb1,0.12208889,0.4498201
Unc5c,0.24408738,0.4498407
mt-Atp8,0.20865874,0.44994077
Pus7,0.11900941,0.44996676
Focad,0.11950616,0.44997868
Cd37,0.2538038,0.45000666
Gm26679,-0.18190305,0.45010456
Pick1,0.109704524,0.450163
Myrf,-0.18472572,0.45019862
Rrp1,-0.11748212,0.45021304
Med1,-0.122606665,0.45024836
Anxa4,-0.10938261,0.4502906
Erbin,-0.114827394,0.45037985
Zbtb40,-0.11351636,0.450415
Habp4,-0.109698325,0.45057288
Rad54b,-0.27447763,0.4506484
Parp3,0.11189434,0.45072848
Trim41,-0.10645119,0.45076683
Eef1a1,-0.11985636,0.4508672
Ppfia1,0.11550416,0.45091647
Gm6397,-0.28993195,0.45092967
Slc38a6,-0.1258113,0.45109063
Tmem159,-0.11289728,0.45125502
Tap1,0.15656517,0.45133516
Cdrt4,0.19838832,0.4513649
Bmp4,0.23398162,0.45138147
Hmgcl,-0.105501026,0.4514143
Trpc6,0.22953318,0.45151883
Gm9144,-0.26275727,0.451706
Ifih1,-0.12523422,0.45172042
Nfs1,-0.1144664,0.45176417
Pcx,-0.15921558,0.45178518
2210008F06Rik,0.249079,0.45180416
1700055D18Rik,0.28423014,0.45196506
Snrnp25,-0.25465503,0.45196941
Ice2,-0.12202597,0.45209178
Topors,-0.10764009,0.4521078
Dnajc4,0.12397777,0.45210811
Eif2s2,0.10573926,0.45211694
Rspry1,-0.10999201,0.45215747
Bet1l,0.119072124,0.45217466
Fip1l1,-0.113412134,0.4522858
Serpina3c,-0.32520488,0.45234787
Mks1,0.13474524,0.45241463
Asl,0.12706167,0.45244005
Sobp,0.1325835,0.45245692
Gsk3b,0.115080535,0.4526616
Dynlrb1,-0.10618258,0.45287815
Gm4875,0.32116437,0.45301315
Slc22a2,0.1683486,0.45305958
Vrk3,0.11334056,0.45306385
Kctd21,0.13874246,0.45308736
Sssca1,0.17005046,0.4531071
Ppp2r1a,0.11424491,0.45316982
Pdcd6ip,-0.11388291,0.4532204
Myrip,0.10148314,0.453284
Gdpd5,0.16024655,0.45332816
Clstn1,-0.12075391,0.45333967
Cnpy3,-0.10802267,0.45339066
Dll1,-0.33414173,0.45345378
Rbms1,0.12059416,0.4535088
Golga2,0.11369817,0.45358202
Grin3a,-0.20248504,0.45362192
Ankra2,-0.113261215,0.45386797
Pik3c2a,0.10763403,0.4539404
Zfp235,-0.15020226,0.45395094
Cramp1l,-0.12043412,0.45396975
Plin3,0.11766892,0.45398736
Edem1,0.107235625,0.4540678
Gpm6a,-0.11864455,0.4541141
Bbip1,0.13065726,0.45412228
Zfp768,0.10704702,0.45415023
Zfp653,0.124259315,0.45421565
Reep3,0.11581268,0.45439497
Nagk,0.13779852,0.45445722
Ccny,-0.12857433,0.4545212
Mkln1,-0.11212771,0.4546503
Cdkn1c,-0.15503418,0.45465785
Zfp719,-0.119750865,0.45467186
Hnrnpc,0.104642615,0.45469266
Abhd11os,-0.22375304,0.45494184
Pex14,0.12366782,0.45518968
Golga3,0.11552947,0.4551987
Fmn2,0.17041862,0.45524663
Cd300c2,0.34050813,0.4552545
Chn1os3,0.21878056,0.45526066
Dnm3,-0.111185245,0.45539886
5830432E09Rik,0.13405515,0.45540196
Mypop,-0.12857041,0.45541558
Clec4a3,0.3036039,0.4554272
Ncaph2,-0.10497336,0.45546478
Igsf6,0.15884401,0.4555778
Abcb10,0.10674991,0.45560464
Vegfb,-0.10595024,0.45571092
Nufip2,-0.10943592,0.45574328
Lrrtm2,0.114621736,0.45576075
Ubxn2b,-0.118001685,0.45597768
Adgre5,0.10787918,0.45599368
Erlin1,-0.12454224,0.4559957
Gng4,-0.27360526,0.45607167
Arhgap15,0.24504423,0.45608404
Cyp27b1,0.43612057,0.45614824
Rbm10,-0.10307414,0.45628345
Atp23,-0.24692453,0.45631894
Prkce,0.15294226,0.4563991
Dhh,0.119076,0.45678905
Fam135a,-0.105787605,0.4568582
Nova2,-0.11915885,0.4570355
Champ1,-0.10345517,0.45718572
B130046B21Rik,-0.19513306,0.4572015
Zbtb26,0.16627333,0.45727995
Tbccd1,0.1333164,0.45730782
Gm19774,0.32380703,0.45731387
Usp14,-0.10811146,0.45732656
Zfyve21,-0.12319909,0.45734164
Hmg20a,-0.1079295,0.45736182
Limk1,-0.11190409,0.45740837
Il2ra,0.27755883,0.45748106
Tspan15,0.113486275,0.45753813
Gm26779,-0.27420914,0.4575736
Cdc37,-0.10902034,0.45757744
Bex3,0.18317443,0.45760375
Snrpb2,0.15209025,0.4576691
Med30,0.1294202,0.4578733
Pacsin1,0.24512339,0.45788708
2600014E21Rik,-0.2451504,0.4578999
Wdr12,-0.149073,0.45796952
Kcnq4,0.14159551,0.45801046
1700048M11Rik,0.29401016,0.45805708
Uhrf1bp1l,0.10383648,0.4581083
Gm5529,0.31423077,0.45818877
Eif4enif1,-0.10839705,0.4581992
Mbd5,-0.10295638,0.4582869
Smg5,-0.112404615,0.4583064
Efcab12,0.28875202,0.45857275
Pum1,-0.11405609,0.45868295
Per3,-0.19147182,0.45868498
Nufip1,-0.14495696,0.45892134
Chchd1,0.17372757,0.4589785
Hist1h4a,0.26472333,0.45898739
Cks1b,0.24408205,0.45901316
Ogg1,-0.1673389,0.4590676
Primpol,-0.1809184,0.45912567
Kif1a,-0.12206125,0.4591514
Nupr1,-0.1783417,0.45925733
Adipoq,-0.32362494,0.45927024
Nup155,-0.10903593,0.45929828
Kat5,0.10351056,0.45935956
Ppp1r1b,0.15698624,0.45936662
Rad23a,0.10227581,0.459561
Laptm5,0.12340641,0.4595722
Arl16,0.14972147,0.45958418
Smco4,0.20060158,0.45968652
Hrct1,-0.18906029,0.45971838
Plxna4os2,0.28643173,0.45974734
Cep19,0.1676796,0.4597704
Btrc,0.1049447,0.4598453
Adgrd1,0.15372497,0.45995045
Prkab1,0.11808094,0.45995367
Tra2a,-0.11068801,0.4600012
Gm26690,-0.2620916,0.46002343
Gm7785,0.28386337,0.46003288
C2cd2,0.13113825,0.46009445
Tctex1d2,0.1997163,0.46011645
Kars,-0.09925279,0.46031478
Fbrsl1,-0.11847767,0.46033713
Gm12739,-0.30527428,0.4603812
Baiap2,-0.11716516,0.46038407
Calr4,-0.21817425,0.46059376
Plekha4,-0.12063532,0.4606625
Ganc,-0.11272302,0.46073496
Mrfap1,0.11399425,0.46073806
Pin4,-0.20452937,0.46098945
Scnn1b,-0.2774666,0.46106175
Lgi4,-0.119953424,0.46113935
Gas2l1,0.1191078,0.4611895
Mfap1b,-0.11602385,0.46122524
Crip1,-0.11640994,0.46126074
Mfng,-0.17632991,0.46154013
Kcnq5,-0.2727758,0.461564
Wfikkn2,-0.22521506,0.46168235
Cdh20,0.29081792,0.46170413
Slc30a6,0.1362897,0.4617755
Braf,-0.11376938,0.46184054
Avpi1,0.17616305,0.46186677
2310039H08Rik,0.20404077,0.46188313
Fam89a,-0.23543271,0.4619021
Gorasp2,0.102037065,0.462101
Trappc10,-0.115841284,0.46217763
Rab35,-0.102738254,0.4622831
Trmt61a,0.15567386,0.46238104
Efhc2,-0.2378272,0.46240807
Auts2,-0.11691574,0.46246728
Zfyve27,-0.11533802,0.4624733
Zfp51,-0.17744438,0.4625037
Hoxc9,0.15206505,0.4625691
Hadha,0.11190224,0.46261543
Sox18,0.18032868,0.46274692
Nfyc,-0.10439406,0.46282497
Cttn,0.11357434,0.46283153
Sos2,-0.11771373,0.46284464
Dcxr,-0.14194262,0.46285278
Naga,0.10279495,0.46287808
Slc7a7,-0.15624978,0.46294335
Meis3,0.1487339,0.4631026
Ccdc127,-0.11069774,0.46311677
Sec24b,-0.11443068,0.4631993
Gucy1a2,0.1232741,0.46326587
Nedd4,0.11475291,0.4633006
Btk,0.26432332,0.46332645
Bivm,-0.12885804,0.46358776
Abcb1a,0.1250583,0.4635925
Sorbs2,0.12468024,0.46359262
Nsd2,0.10981771,0.46375653
Smim1,-0.124874786,0.46380946
Gm15892,-0.2777262,0.4638898
Pdgfa,0.110935666,0.46391892
Rpl17,-0.116407394,0.46399015
Arid4a,-0.10234391,0.4641096
Nfat5,0.13564608,0.46432024
Ripk3,-0.2906426,0.46441832
Gng2,0.11240014,0.46444348
Mcts2,0.17805333,0.4645032
Plagl2,0.10520191,0.46461228
Grb10,0.14790156,0.46469665
Wdr38,-0.29093796,0.46474397
Gm53,0.165064,0.46478584
Gm4876,-0.24601404,0.46479273
Gm3828,0.30004936,0.46483278
Zfp760,0.12222859,0.46505985
Ficd,-0.11118525,0.46507406
Ap2a2,0.11145857,0.46508864
Cyb561,0.16234282,0.46513584
Slc31a2,-0.10500585,0.4651386
Arhgef28,0.1117265,0.46518615
Card9,0.18722045,0.46520734
4933400F21Rik,0.14257303,0.46572337
Polr2j,0.16120574,0.4657383
Dclre1a,-0.115375556,0.46584988
Acsl6,-0.13904944,0.4658512
Litaf,0.104370944,0.4658522
Litaf,0.10437092,0.4658854
Gstt3,-0.20531698,0.4659718
Lmo7,0.11735533,0.46599993
Wwp1,0.1224002,0.46605027
Gm3604,-0.21700992,0.4660597
Gm6430,-0.23362064,0.46620372
Foxs1,0.10863586,0.46621865
Eif2s1,0.110060595,0.46626055
Rtel1,0.110615574,0.46631217
Pbrm1,0.11711204,0.4663245
Slc5a2,-0.2474859,0.46633238
Orc3,-0.102197506,0.46638492
Atad3aos,-0.20630689,0.4664052
Rnf111,-0.105406426,0.46641523
Haus1,-0.16373324,0.46649337
Gm17057,0.20608667,0.46655187
Trpt1,-0.13049966,0.46662283
Lonp2,-0.107995376,0.46666098
Cdh2,0.14583647,0.4667876
Amfr,0.11093764,0.46687168
Plcd1,0.11346189,0.46706226
Hdac9,0.22322829,0.467111
Aebp1,0.12059071,0.46711582
Gm8546,0.35762945,0.4672849
Zfp715,-0.12500332,0.4673856
Gm6645,-0.34623793,0.4673981
Stk36,0.15686199,0.4674064
Uggt2,0.11040601,0.46741277
Abca6,0.120344475,0.46742582
Strada,0.12445014,0.46762305
Clk3,-0.10088294,0.46769696
Smad5,-0.116861396,0.4677257
Zfp707,-0.15364397,0.46773675
Cfl2,0.11618042,0.4678487
Clk2,-0.101040505,0.46791303
Rpl36al,-0.13348392,0.46795958
Jak3,0.1294524,0.4680132
9330162012Rik,-0.27554896,0.46808803
Maml2,-0.11302416,0.46819505
Mfap3,0.10306776,0.46830696
Rps6kb2,-0.10323456,0.46832356
Zfp143,0.13940912,0.46847728
Pttg1,-0.11928592,0.46853182
Mpzl2,-0.15334067,0.4685349
4932438A13Rik,-0.11188277,0.4686139
Gm2445,0.21592487,0.46861538
AI661453,0.18458979,0.4687978
Pi4kb,-0.0992263,0.46881276
Gpr108,0.098930456,0.46883252
Amigo3,0.1374223,0.46897474
Gm20939,0.26377702,0.46919724
1700030K09Rik,-0.1305168,0.469248
Nsmaf,-0.10093848,0.46938688
Prg4,-0.26982623,0.46950933
Rarres2,0.10397458,0.4695841
Gm27026,-0.30358258,0.46968493
Mtcl1,-0.111752056,0.469844
Mark4,-0.09864402,0.46987796
Camsap1,-0.101183966,0.4699026
Fahd2a,0.16576242,0.47009146
Rdx,-0.11153614,0.470256
Ssb,0.10373463,0.47025767
9130221H12Rik,-0.16605249,0.47035185
Bmp15,0.3791644,0.47037414
Dda1,-0.10014108,0.4704017
Prpf4b,-0.10468687,0.47050157
Rps25-ps1,-0.22230984,0.4705459
Ints8,-0.10010673,0.4706297
Dnajc1,0.09982857,0.47068328
Cib1,-0.14526379,0.47068924
Gm26916,-0.19225465,0.47073245
Myh14,-0.123497345,0.4707459
App,0.11276231,0.47097662
Medag,0.18834999,0.4710781
Gm21992,-0.20776525,0.47113022
Gatm,-0.11758645,0.4712285
Pex10,-0.13888666,0.47122982
Itga10,-0.17386666,0.47129154
Extl1,-0.101212,0.4713369
Rnf187,0.11074147,0.47137043
Gnb4,0.10711757,0.4714638
Gfra1,-0.10868987,0.4714834
Chd7,-0.097392105,0.47151828
Ptger1,-0.10498807,0.47158074
Ap2m1,0.11040232,0.47161275
Gm10489,0.26052654,0.47207373
Sfrp5,0.13663007,0.47211462
Hic2,0.17163454,0.47217312
Apba2,0.2892521,0.47218058
Bcs1l,-0.14778876,0.47230124
Nelfe,0.10975957,0.47231096
Acadvl,-0.101615004,0.47231206
Lsm10,0.17150378,0.4723351
Capg,-0.11303368,0.4724578
Ankrd49,0.17281194,0.47254106
A730085K08Rik,-0.27717954,0.47256553
Fsd1,-0.21868497,0.4726481
Brd9,0.104908116,0.47264925
Alyref,-0.10339649,0.47267896
Large1,0.113861404,0.47288007
Gm14731,0.25161836,0.47300625
Cltc,0.11122638,0.47303084
Gls2,-0.2308784,0.47304726
Map3k1,0.106075175,0.47307128
Mad1l1,0.110529155,0.4732289
Gm7266,-0.2376135,0.47328618
Xbp1,-0.10538525,0.4733891
B230206H07Rik,-0.11112185,0.4735252
Tpp2,0.1009126,0.47393632
Zfp59,0.2060321,0.47394383
Cox8a,0.11127494,0.47398862
Gm15910,-0.18387055,0.47401
Fcer1g,0.17329542,0.47406563
Ndufa7,0.10482617,0.47411895
Gm15647,-0.30479923,0.4742081
Rabep1,0.11187991,0.47421175
Pqbp1,0.10459533,0.4742382
Rpsa,-0.1091091,0.47426438
Osr2,0.1015352,0.47434935
Kif19a,0.11518234,0.4743708
Ascc3,0.10126649,0.47447786
Stkld1,-0.20631923,0.47459263
Asah1,0.114317216,0.47462693
Elp2,0.10113129,0.47477028
Sf3a1,-0.10093237,0.4747849
Gm17098,0.28088146,0.47479168
B430203G13Rik,0.23315677,0.47490913
Rad54l,-0.1626184,0.47524384
Man1c1,0.11131524,0.4753047
Atf5,-0.11120684,0.47541097
Ttc41,-0.1524524,0.47541183
S100a10,0.10456042,0.4755033
Pdp2,0.11568028,0.4758538
Lmnb1,0.13682237,0.47600088
Zmiz2,-0.11420887,0.47603607
4930512B01Rik,-0.20379297,0.47619763
Cdc27,0.099729575,0.47624353
B230307C23Rik,0.23532476,0.476259
Casp7,0.13987833,0.47630242
Smarcd3,0.108002454,0.47631475
Dna2,0.19402292,0.4764374
Hsdl1,-0.09703267,0.47645935
Tmem25,-0.21671739,0.4764797
Zbp1,0.24503677,0.47678617
Mettl2,0.14461215,0.47696579
4933407I08Rik,-0.23330492,0.4770176
Stat5b,-0.10691185,0.4770681
Slc24a2,-0.19463778,0.47713014
Thnsl1,-0.16213652,0.47723526
Cacnb3,-0.12156703,0.4772422
Elmo2,0.10657018,0.47733706
Bod1l,-0.10745084,0.47746256
Ccne2,-0.17110015,0.4775666
Gm29417,-0.19909395,0.4775669
Pnldc1,0.21065441,0.47760665
Pdlim5,0.114580244,0.47775382
R74862,0.12011936,0.47782403
Kti12,-0.1973244,0.47787458
Ddx56,-0.101997405,0.47793412
Mtf1,-0.09870269,0.47794697
D730003I15Rik,-0.17424266,0.47800252
Wrn,0.10216289,0.4780103
Polr1a,-0.100826636,0.4780337
Six5,-0.10324826,0.47805607
Naf1,0.12383011,0.4780722
Gm20900,-0.16765541,0.4781606
Tent5a,-0.13831684,0.4781717
Pstk,0.13448037,0.47834575
2900026A02Rik,0.1187202,0.47837502
Ankrd6,-0.19178712,0.47841892
Cobll1,0.12337134,0.47849527
Ap1s1,0.11168345,0.4785647
Gm12565,0.23946263,0.4786782
Gm11539,-0.21730708,0.47868636
Pkd2,-0.10654979,0.47877574
Tmem11,0.13230261,0.47879902
Hnrnph2,-0.09951848,0.47885865
Lztr1,0.111101985,0.4788932
Gm15903,0.25898904,0.47893545
4931403E22Rik,-0.30834,0.47900912
Edrf1,-0.10267015,0.4790205
Ccp110,-0.11264039,0.47913697
Htatip2,0.219848,0.47923067
Scrib,0.11806728,0.47923934
Tox4,-0.09804085,0.47928527
Tsfm,0.14867382,0.4793695
Nono,0.10902204,0.47943854
C730034F03Rik,-0.26025853,0.47953904
Surf2,-0.108563945,0.47963667
Lypd6b,-0.25259927,0.4796432
Tbc1d22bos,0.23162492,0.47975847
H2-Eb1,-0.11314337,0.47981453
C1galt1c1,0.13989705,0.47983214
Rab12,0.09909518,0.47988847
Ift46,0.0992109,0.47997576
Timm17a,-0.09838862,0.4801186
Naa16,-0.1157996,0.4801798
Mir23b,-0.2204225,0.48019135
Smyd5,0.1308193,0.48034024
Kcnip3,-0.16479473,0.48038328
Relb,0.12486162,0.48057598
Golim4,0.10208208,0.48068723
Fcho1,-0.208199,0.480878
Smyd4,-0.117587045,0.48114115
Gm26646,-0.2891911,0.48121354
Zfp821,0.11849189,0.4813267
Jph4,0.21386468,0.4813678
Gm13389,-0.15884423,0.48147377
AI837181,-0.099429,0.4815591
Gm12737,0.29832724,0.48185217
Mx1,0.26951978,0.48202407
Flot1,0.1258515,0.4820463
Fzd3,0.11070813,0.48205277
4933431E20Rik,-0.10082265,0.48210347
Hist1h4d,0.09957737,0.4822183
Lypla1,0.10746665,0.4822545
Gemin4,0.21657,0.48230383
B4galt1,0.116973884,0.4823291
Pam16,0.12301756,0.48247606
Slc1a6,0.3168941,0.48255727
Alg14,0.12419257,0.48257554
Adprhl2,-0.10852994,0.48258334
Nhp2,-0.1470903,0.48258492
Gm11951,-0.2777921,0.48259676
Zfp651,0.10649319,0.48266596
Prpf38b,-0.096534826,0.48272237
Rps3a3,-0.15965371,0.48277
Eps15,-0.10708643,0.48284894
U2surp,-0.10283783,0.48290604
Gm20682,-0.21266069,0.48291445
Vstm2b,-0.24683702,0.48291963
Leng8,-0.11787461,0.48295647
Pdcd4,0.09633743,0.48300204
Tmem132a,-0.17365062,0.48304656
Dhps,-0.11354639,0.48308936
Klhl24,-0.11048009,0.48312548
Rttn,-0.112469494,0.4832789
Bnipl,-0.2721773,0.48328182
Rad1,-0.13181694,0.4833712
Bpifb9a,-0.32057083,0.4833908
Ltbp2,0.19569224,0.4834105
Gm16061,-0.19876663,0.48355478
Rbm38,-0.2427891,0.4835662
Gm28940,-0.22906792,0.48361957
Knstrn,-0.2277797,0.48372293
Serinc1,0.10700228,0.48374167
Apbb2,-0.112093925,0.48381424
Gm10687,0.20507348,0.48392507
4632415L05Rik,-0.13543722,0.4839331
Gcnt7,-0.16793211,0.48400113
Col11a1,0.112392455,0.48406455
Gm4258,0.2415373,0.48406765
Prox2os,-0.30074453,0.484301
Gm16347,0.21692573,0.48434347
Patj,-0.10395774,0.48439837
Snrpert,0.25643054,0.48446566
Tnfrsf12a,-0.1855575,0.48454177
Pak3,-0.1835616,0.48471633
Txndc16,0.10725373,0.4847877
Exoc8,-0.11478273,0.48481765
Wdr74,0.13666856,0.48495266
Slc6a8,-0.11822174,0.48502395
Siva1,0.11191263,0.48516458
Sap130,-0.102469884,0.48520124
Rps6kc1,-0.097918496,0.48527485
Cep131,-0.10680106,0.4853084
2010111I01Rik,-0.09847361,0.4853373
Fpgt,0.11926768,0.48544747
Dis3l2,0.09841495,0.48548266
Gkap1,0.099577576,0.48548725
Tubb2b,0.105505906,0.48549396
Mex3c,-0.09953209,0.48557836
Gm12977,-0.31726372,0.48567572
Hmcn1,-0.13475493,0.48585302
Dnajc2,-0.10859463,0.48599362
Kif21a,-0.10831317,0.48602444
4632428C04Rik,0.26831442,0.48610914
Cldnd1,-0.09734577,0.48616982
Rubcn,-0.109124996,0.48620448
Gtpbp8,-0.119072095,0.4862268
Gm29670,-0.23895364,0.48622847
Tnik,0.09504446,0.4864367
Iars2,0.09431748,0.48659146
Hecw2,0.11537961,0.48663533
Tcf25,-0.10666707,0.48689017
Sprtn,-0.1157711,0.4869961
Nusap1,0.23641443,0.48703644
Fbxl20,-0.106851466,0.48705018
Xylt1,0.16126499,0.48707092
Gm8615,0.27526718,0.4872037
1700105P06Rik,-0.22509933,0.48721823
Gm4279,0.23136604,0.48722267
B3gnt6,-0.27558902,0.48724338
Tbc1d15,-0.093197644,0.48735943
Anapc15,0.20005526,0.48747036
Dnajc28,-0.19192334,0.48747632
Fdxr,-0.12725434,0.48748162
Zcchc10,-0.21898949,0.48750773
Arhgef25,-0.09487947,0.48750946
Gramd1b,0.13645917,0.48752403
Flvcr1,-0.14184427,0.48766077
Atg16l2,-0.10410723,0.48775807
Gpbp1l1,-0.095231265,0.48790237
Gm15635,0.19015399,0.48797715
Pdgfb,-0.13026431,0.4880465
